ID                                       ID_CLIENTE           NOME_CLIENTE                             EMAIL_CLIENTE                            TOTAL                DATA_PROCESSAMENTO   DATA_VENCIMENTO     
348bad01-9899-3d20-989c-fe89117966f5     1                    LuizaRoseira                             luiza.roseira@hotmail.com                22416.55             13/06/2022           13/07/2022          
5b39cf8c-0c20-304c-b643-7f1b0bae41f3     2                    AgathaBarbosa                            agatha.barbosa@gmail.com                 21586.52             13/06/2022           13/07/2022          
887315ff-4d24-3250-b8a2-1179fe1943a5     3                    EmanuelXavier                            emanuel.xavier@hotmail.com               26257.00             13/06/2022           13/07/2022          
54d033e4-c31d-3af6-8078-0c076b580e77     4                    GubioXimenes                             gubio.ximenes@yahoo.com                  18893.54             13/06/2022           13/07/2022          
67c32462-aaf3-3b48-bcd9-04c93fefce83     5                    Clariceda Fonseca                        clarice.da.fonseca@hotmail.com           3346.40              13/06/2022           13/07/2022          
f78a7b93-2a19-3b38-964e-13c5ff3a10ad     6                    ElisaVieira                              elisa.vieira@bol.com.br                  8645.48              13/06/2022           13/07/2022          
b364a2e8-243a-3add-9f8d-759e9850ad4b     7                    Salvadorde Sa                            salvador.de.sa@live.com                  8781.16              13/06/2022           13/07/2022          
831cb244-3dd1-3b4a-9aee-574290936bcf     8                    Maria FlorLaranjeira                     maria.flor.laranjeira@bol.com.br         4772.42              13/06/2022           13/07/2022          
f7594647-ca70-3f74-893b-6439eaf149d6     9                    AlessandraCruz                           alessandra.cruz@hotmail.com              8590.55              13/06/2022           13/07/2022          
ca2bd8dd-0900-3135-bdda-ed2bba419b6e     10                   SamuelDorneles                           samuel.dorneles@gmail.com                7703.71              13/06/2022           13/07/2022          
234d16d8-d7a3-3005-978c-c5cc7438a5db     11                   Maria AliceSaraiva                       maria.alice.saraiva@bol.com.br           12508.69             13/06/2022           13/07/2022          
55cbb6e5-2e4b-3013-9216-b1d25f9838ea     12                   Oliverda Paz                             oliver.da.paz@hotmail.com                16090.21             13/06/2022           13/07/2022          
780348e6-059d-3267-a6c1-a960361756c0     13                   AliciaBarros                             alicia.barros@gmail.com                  9856.48              13/06/2022           13/07/2022          
6d95e154-67f8-3d07-8adc-45b3ed6ad73b     14                   Mariada Nobrega                          maria.da.nobrega@yahoo.com               6725.70              13/06/2022           13/07/2022          
a2e3a3a0-dd4f-3d42-a059-4366d48daf2a     15                   VictorCoutinho                           victor.coutinho@hotmail.com              7490.95              13/06/2022           13/07/2022          
a088e5d1-1bcc-377b-ad53-a7581bbe5cc1     16                   Pedro LucasEspinheira                    pedro.lucas.espinheira@live.com          17021.29             13/06/2022           13/07/2022          
34af98c2-4ee0-3637-ba17-f9b0ba93673c     17                   JulianaGentil                            juliana.gentil@live.com                  4946.63              13/06/2022           13/07/2022          
2bb9cfec-84e5-3cbe-a5df-817d6764a9bb     18                   NorbertoCasqueira                        norberto.casqueira@yahoo.com             6793.82              13/06/2022           13/07/2022          
b1e18403-e6a7-3522-870f-a2024f8abd65     19                   ViniciusGoncalves                        vinicius.goncalves@gmail.com             9070.38              13/06/2022           13/07/2022          
e647c236-e84d-3693-aeed-eb83b5c19390     20                   AnaPaiva                                 ana.paiva@hotmail.com                    6392.52              13/06/2022           13/07/2022          
a5d57e81-f4ae-347d-847f-a2f45f489b76     21                   IsabellaFarias                           isabella.farias@gmail.com                6411.93              13/06/2022           13/07/2022          
a01c5f51-466b-3d84-9992-adf32cc044ac     22                   DenevalPaes                              deneval.paes@gmail.com                   13378.19             13/06/2022           13/07/2022          
63c37296-85d6-37e3-ad92-49e54249bc59     23                   LuizRameira                              luiz.rameira@yahoo.com                   9566.64              13/06/2022           13/07/2022          
c22f1b0a-a449-3c42-b6f5-de4869991a26     24                   Joao Victorda Maia                       joao.victor.da.maia@yahoo.com            11715.19             13/06/2022           13/07/2022          
9fc2e1c4-a30e-3051-9f5a-abfaf9537957     25                   Maiteda Madureira                        maite.da.madureira@bol.com.br            10616.46             13/06/2022           13/07/2022          
0443870d-d6c3-3378-8579-c3e24f13a585     26                   FeliciaBarroso                           felicia.barroso@hotmail.com              7943.22              13/06/2022           13/07/2022          
0266e9cf-9c8b-3b4e-94dc-8b473e8e36a8     27                   AlessandraRoseira                        alessandra.roseira@live.com              16348.72             13/06/2022           13/07/2022          
21c76d14-c308-3eb2-983a-f9ca05d484ce     28                   PietroMoreno                             pietro.moreno@gmail.com                  2563.08              13/06/2022           13/07/2022          
24dd9d5a-ab3b-32c2-9942-1cf5d3060ee9     29                   DaniloAraujo                             danilo.araujo@live.com                   10413.63             13/06/2022           13/07/2022          
2f7a945c-be30-311d-b089-4e31807e5634     30                   MarcioMelo                               marcio.melo@gmail.com                    9654.11              13/06/2022           13/07/2022          
9ae0123d-0e16-3cf8-9938-ef5b751012c4     31                   Vitor HugoMoreno                         vitor.hugo.moreno@gmail.com              10670.70             13/06/2022           13/07/2022          
153c7347-cd34-31b4-aaaa-889f4b2f641a     32                   JanainaMatoso                            janaina.matoso@live.com                  5389.59              13/06/2022           13/07/2022          
71a73eb1-7003-3333-951d-1fe40d86c92a     33                   Maria ClaraGentil                        maria.clara.gentil@yahoo.com             9231.26              13/06/2022           13/07/2022          
73aeb549-bcdc-3135-adbe-3687634e5a4d     34                   BenicioCorrea                            benicio.correa@live.com                  1675.26              13/06/2022           13/07/2022          
ef6da7ed-7ac6-3eed-a70b-7445669c449f     35                   Enzo ThiagoSanches                       enzo.thiago.sanches@bol.com.br           504.87               13/06/2022           13/07/2022          
f683e039-2910-3dc9-9fec-855ff7db085e     36                   TomasAntena                              tomas.antena@hotmail.com                 9506.19              13/06/2022           13/07/2022          
cfb34f97-9cec-3eb4-8e0e-40774580843f     37                   RodrigoBentes                            rodrigo.bentes@live.com                  12613.93             13/06/2022           13/07/2022          
5ddd65dd-6f10-3b9a-8c52-9b9f1d98cc5d     38                   FranciscoAparicio                        francisco.aparicio@hotmail.com           6471.37              13/06/2022           13/07/2022          
45066761-fa03-3e80-8821-51737c3c17df     39                   MayaMenendes                             maya.menendes@hotmail.com                9284.30              13/06/2022           13/07/2022          
b7cd3f4b-dc94-3a40-9e43-2b016e3c484c     40                   IsadoraRolim                             isadora.rolim@gmail.com                  4143.24              13/06/2022           13/07/2022          
5f4c559e-0566-30dd-9708-6e73d37545a5     41                   Yasminda Conceicao                       yasmin.da.conceicao@yahoo.com            19273.87             13/06/2022           13/07/2022          
7d5290c9-4728-3efd-bce9-16e69e755acc     42                   SophiaBrites                             sophia.brites@bol.com.br                 3384.22              13/06/2022           13/07/2022          
74f2fad2-3092-3190-8e2d-d10b154b2411     43                   MaiteRaia                                maite.raia@gmail.com                     22185.79             13/06/2022           13/07/2022          
380f5362-d0d4-3de4-963b-2b5a16a00ad2     44                   TheoAroeira                              theo.aroeira@hotmail.com                 1705.19              13/06/2022           13/07/2022          
4bbef4b4-79d4-377e-a3c3-79d4de3c9a3f     45                   WashingtonGoulart                        washington.goulart@gmail.com             13140.14             13/06/2022           13/07/2022          
96f8a010-1823-38a4-8855-5802ebffc612     46                   IsabelDorneles                           isabel.dorneles@yahoo.com                2284.14              13/06/2022           13/07/2022          
6626d4eb-5acb-3580-821c-0a9f4fadee14     47                   BarbaraFogaca                            barbara.fogaca@hotmail.com               5175.33              13/06/2022           13/07/2022          
d9e9ad7a-fe47-30ee-805d-1e22deb3cb92     48                   IsisGoulart                              isis.goulart@bol.com.br                  5049.46              13/06/2022           13/07/2022          
c11ac509-fde5-3c04-ae43-00b5a23989ee     49                   Pauloda Costa                            paulo.da.costa@yahoo.com                 7229.04              13/06/2022           13/07/2022          
d138ff0a-570e-36c3-ab71-316b9ef47a5e     50                   AnthonyBanheira                          anthony.banheira@gmail.com               8131.20              13/06/2022           13/07/2022          
7b733cac-e108-3024-8887-e9d029c96783     51                   PietraAlvares                            pietra.alvares@bol.com.br                68.85                13/06/2022           13/07/2022          
b486ff42-8ca1-3a32-a892-13071ff5ac8b     52                   LizNogueira                              liz.nogueira@live.com                    8147.62              13/06/2022           13/07/2022          
c8154172-3b6c-3f6d-bed2-ec469ccb4d79     53                   FabricioCoutinho                         fabricio.coutinho@yahoo.com              6480.42              13/06/2022           13/07/2022          
12951424-0cb6-3f6c-9bb4-d2c7f8986c82     54                   Gabriellyda Barra                        gabrielly.da.barra@bol.com.br            15084.68             13/06/2022           13/07/2022          
009897fa-1786-3422-b9ff-0582a86f17e6     55                   MiguelSouza                              miguel.souza@gmail.com                   6681.81              13/06/2022           13/07/2022          
cb884267-9d49-3eca-9b5b-aec7757b8055     56                   JanainaDomingues                         janaina.domingues@hotmail.com            5006.26              13/06/2022           13/07/2022          
99718a36-2ff2-3828-bce2-9edb7b0fbffd     57                   HugoMeira                                hugo.meira@live.com                      12062.74             13/06/2022           13/07/2022          
611ac663-14f3-31ac-914f-46ef6d1803aa     58                   JulianaPeixoto                           juliana.peixoto@bol.com.br               8429.28              13/06/2022           13/07/2022          
5f4c559d-acf1-3e30-a05e-e6d5862aea0c     59                   JoseOliveira                             jose.oliveira@yahoo.com                  7919.88              13/06/2022           13/07/2022          
9c247148-266a-3882-8b72-1def06e3bc78     60                   Maria LuizaBulhoes                       maria.luiza.bulhoes@live.com             10741.66             13/06/2022           13/07/2022          
82798b98-4cb5-350b-8f5f-ca9fa1f42e27     61                   JoaoPinto                                joao.pinto@hotmail.com                   13150.51             13/06/2022           13/07/2022          
442e3243-1d97-31a0-9a2e-0647ab676034     62                   HenryFogaca                              henry.fogaca@yahoo.com                   2810.86              13/06/2022           13/07/2022          
7430d292-67af-3713-b05d-afdc95f9d336     63                   EstherLimeira                            esther.limeira@hotmail.com               11124.69             13/06/2022           13/07/2022          
3c254c42-ad59-3d11-a014-e91d399cb783     64                   LizVimaranes                             liz.vimaranes@live.com                   8207.55              13/06/2022           13/07/2022          
8d1c7a32-9a94-31e2-ac04-6c7618a86133     65                   MathiasMenendes                          mathias.menendes@bol.com.br              374.24               13/06/2022           13/07/2022          
bb941f7e-510c-351e-829d-e49a42dd4a6f     66                   BiancaRibeiro                            bianca.ribeiro@gmail.com                 1744.77              13/06/2022           13/07/2022          
1a325189-e1ae-3ebb-a92c-b2f002271b46     67                   Davi LuccaCarvalho                       davi.lucca.carvalho@bol.com.br           9562.89              13/06/2022           13/07/2022          
5c12dace-743b-3b60-a664-cbf78e2a9d02     68                   BenicioMacieira                          benicio.macieira@hotmail.com             6889.88              13/06/2022           13/07/2022          
fb1aa530-391f-3b3a-853f-426f10889e08     69                   GustavoArriaga                           gustavo.arriaga@bol.com.br               14173.60             13/06/2022           13/07/2022          
27577a1b-3635-341c-b204-cca365e3a1df     70                   TalitaCarreira                           talita.carreira@yahoo.com                14684.72             13/06/2022           13/07/2022          
dd3d4a67-428d-3a67-a973-a434ecf409bc     71                   Luiz HenriqueResende                     luiz.henrique.resende@live.com           1417.35              13/06/2022           13/07/2022          
00ed7f9e-9c3a-342b-8c0b-b9c9e91f72b3     72                   Franciscado Prado                        francisca.do.prado@bol.com.br            12536.97             13/06/2022           13/07/2022          
c9f1b552-546c-3dde-81ad-cf03d3e1e511     73                   Maria AliceCoutinho                      maria.alice.coutinho@gmail.com           16202.56             13/06/2022           13/07/2022          
